key,label,frequency
mayoritas,1,1
pegangguran,1,1
asaa,1,1
tibatiba,1,1
lapang,1,2
ijasah,1,1
bantu,1,5
sembak,1,2
hhe,1,1
nimbrung,1,1
wa,1,1
kekanak,1,1
kana,1,1
undang,1,9
shanijkt,1,1
hitamputih,1,11
menang,1,8
ssk,1,1
jkt,1,1
mjkt,1,1
puasa,1,3
amal,1,1
trans,1,26
norwegia,1,1
adietaufan,1,1
asiknya,1,1
komplit,1,2
inspiratif,1,5
bro,1,1
hitamputihtrans,1,10
sanggu,1,1
ikat,1,1
silaturahmi,1,1
lunamaya,1,1
www,1,3
instagram,1,4
com,1,6
p,1,4
btqszjjoa,1,1
adik,1,1
btyytxmgvkd,1,1
da,1,1
rafly,1,1
jebol,1,1
dangdut,1,1
academi,1,1
india,1,1
rancang,1,1
dakwah,1,1
ustadz,1,2
wijayanto,1,1
rihanna,1,1
bintang,1,2
tamu,1,5
tayang,1,5
tonton,1,31
malam,1,17
inspirasi,1,21
sobat,1,1
rafatharonhp,1,1
topik,1,3
ttg,1,1
ganda,1,1
anastasya,1,1
wella,1,1
rindu,1,2
wihh,1,1
kakek,1,1
nenek,1,2
sekian,1,2
yukikatou,1,1
nongol,1,1
spensa,1,1
boys,1,3
poso,1,1
kemeja,1,1
biru,1,2
gingsul,1,1
wahh,1,1
vocalgrup,1,1
thanks,1,5
dedy,1,3
mantab,1,2
ulas,1,1
spot,1,1
indahmariana,1,1
hitamputiht,1,3
hpjkt,1,1
jkthitamputiht,1,1
trio,1,1
unyu,1,1
master,1,1
news,1,1
episode,1,1
jeket,1,1
gen,1,1
ok,1,3
donk,1,1
focus,1,1
deddy,1,1
corbuzier,1,1
hr,1,1
guru,1,3
tanda,1,1
jasa,1,1
gaji,1,1
siang,1,3
aktivitas,1,2
chaenel,1,1
stefanlilipaly,1,1
andik,1,1
vermansah,1,1
jesika,1,1
oke,1,2
tweeps,1,2
rapat,1,1
sebentar,1,1
besok,1,2
hpviral,1,1
karunia,1,1
indonesialawyersclub,1,2
wawas,1,2
bicara,1,1
ilc,1,25
tvonenews,1,2
ngakak,1,2
pokok,1,3
indobesia,1,1
lawyers,1,5
club,1,5
tvone,1,9
talkshow,1,1
pirsa,1,3
tahuntvone,1,1
buya,1,2
syafii,1,2
maarif,1,1
youtu,1,3
gpxskltaly,1,1
panglima,1,1
trtnueaw,1,1
rating,1,1
one,1,1
lesat,1,1
sejuk,1,3
obrol,1,2
debat,1,4
bidang,1,1
hukum,1,1
adem,1,3
aa,1,3
gymnastiar,1,1
ikhlas,1,1
karniilyas,1,3
cerdas,1,4
senandung,1,2
belah,1,4
umat,1,1
musnah,1,1
paham,1,2
sejati,1,1
rangkul,1,2
ahok,1,12
selaras,1,1
ustad,1,1
utadz,1,1
zaitun,1,1
rasmin,1,1
saji,1,2
berita,1,1
obyektif,1,1
tvoneslldihati,1,1
polmart,1,1
kpk,1,1
usut,1,1
tuntas,1,1
ektp,1,1
ilctvone,1,24
televisi,1,1
nunggu,1,6
karni,1,1
dengerin,1,1
nasehat,1,2
gym,1,2
islamjagankri,1,1
generalgatot,1,2
serap,1,1
panglimatni,1,1
jendralgatotnurmantyo,1,1
komitmen,1,1
wibawa,1,2
jenderal,1,1
jendral,1,1
nextpresiden,1,1
mental,1,1
jiwa,1,4
maarifinstitute,1,1
kejernihaannya,1,1
kapolri,1,1
barakallahu,1,1
mari,1,1
jagankri,1,1
jonru,1,1
hafidz,1,1
ary,1,1
ahmaddhaniprast,1,1
diketawain,1,1
kalem,1,1
ujung,1,2
keringat,1,1
dingin,1,1
ahmad,1,1
dhani,1,1
hasim,1,1
muzadi,1,1
menentramkan,1,1
jhonson,1,1
panjaitan,1,1
lugas,1,1
akal,1,1
kompak,1,1
bnn,1,1
botak,1,1
soleh,1,1
hendropriyono,1,1
cerah,1,1
prof,1,1
mohmahfudmd,1,1
media,1,2
iklan,1,2
korporasi,1,1
melek,1,1
darmawan,1,1
salihin,1,1
semga,1,1
informasi,1,2
yag,1,2
ih,1,1
kick,1,9
andy,1,9
hasan,1,2
merkids,1,1
ubah,1,2
mimpi,1,4
tindak,1,2
kickandy,1,43
gokil,1,2
eps,1,1
manfaat,1,2
lentera,1,1
mahasiswaum,1,1
agung,1,5
musisi,1,1
gelora,1,1
nasionalisme,1,1
kebhinekaan,1,1
unjuk,1,1
nkri,1,2
mati,1,1
imajinasi,1,1
daki,1,2
gunung,1,2
alam,1,2
niscaya,1,1
narapidana,1,1
eevnxx,1,1
scr,1,1
otodidak,1,1
tertawa,1,1
hapsah,1,1
muncul,1,1
sumbang,1,1
ronny,1,1
acung,1,1
jempol,1,1
sahabat,1,7
gimbal,1,1
lupa,1,2
ala,1,3
cak,1,1
tarpin,1,1
takut,1,3
http,1,11
ekhs,1,2
nomor,1,1
menulisadalahkesenangansaya,1,1
htm,1,1
hindar,1,1
th,1,1
berfikir,1,1
membiyayai,1,1
bajak,1,1
sawah,1,1
metro,1,15
metrotvtoday,1,1
kickandyshow,1,4
ajang,1,2
reuni,1,1
kosti,1,2
dki,1,1
jateng,1,1
ku,1,1
pagi,1,3
uts,1,1
duluan,1,1
poto,1,1
gambar,1,2
kawan,1,1
btguakhkxq,1,1
kocak,1,2
lomba,1,1
design,1,1
malang,1,1
persis,1,1
ift,1,1
tt,1,1
orww,1,1
uji,1,1
tuhan,1,2
rias,1,1
bersih,1,2
tamuahok,1,1
analta,1,1
amir,1,1
nyaring,1,1
kickand,1,1
jago,1,1
kickandyheroes,1,1
penta,1,2
rumania,1,1
eks,1,1
kickandyp,1,1
selip,1,1
detik,1,2
motivasi,1,1
disabilitas,1,1
perjuagan,1,1
istimewa,1,1
tembus,1,1
batas,1,1
al,1,1
misbah,1,1
najwa,1,29
favorit,1,3
pancasila,1,1
metrotvn,1,1
ws,1,1
znajqeb,1,1
selera,1,3
ketua,1,2
dpp,1,1
pkb,1,1
najwashihab,1,2
dialog,1,1
rugi,1,2
matanajwa,1,2
rt,1,3
tl,1,1
gd,1,1
nnocf,1,1
metrotv,1,1
tentram,1,1
tajam,1,1
silet,1,1
kandang,1,1
lawan,1,1
anies,1,1
baswedan,1,3
gemilang,1,1
romantis,1,1
muas,1,3
diskusi,1,1
anis,1,4
fb,1,4
kyynadc,1,1
paslon,1,1
insaallah,1,1
jarot,1,1
sip,1,1
kpud,1,1
atur,1,1
jaim,1,1
pelosok,1,1
edukatif,1,1
santun,1,1
aniessandipemersatu,1,1
matanajwametrotv,1,24
islami,1,1
teladan,1,2
rame,1,1
nambah,1,3
kado,1,1
oowqcwgyj,1,1
tjokro,1,1
senioritas,1,1
kerdil,1,1
bp,1,1
bambang,1,1
woidjojayanto,1,1
savekpk,1,1
gusdur,1,1
sus,1,1
dahlan,1,2
faisal,1,1
basri,1,1
minggu,1,3
merdeka,1,1
tanyajokowi,1,1
hutjekardah,1,1
byk,1,1
kuasa,1,2
bj,1,1
abraham,1,2
slamet,1,1
jk,1,2
ganjar,1,2
pranowo,1,1
samad,1,1
rendah,1,1
tiru,1,1
iskan,1,1
dpr,1,1
desa,1,1
bebas,1,2
rokok,1,1
bjh,1,1
hab,1,1
myloc,1,1
ddto,1,1
narasumber,1,1
